ville,latitude,longitude,type_incident,gravite,date_signalement,heure,jour_semaine,nb_signalements_30j,precipitation_mm,temperature_c,risk_score,niveau_risque
Maroua,10.570196,14.290468,incendie,1,2026-05-21 20:09:38,20,3,4.0,95.9,26.7,0.855,ELEVE
Garoua,9.277924,13.384728,incendie,1,2025-10-20 23:32:38,23,0,20.0,54.9,20.2,0.5315,MOYEN
Garoua,9.306976,13.39974,inondation,5,2025-10-31 03:22:38,3,4,20.0,87.6,20.8,1.0,ELEVE
Ngaoundéré,7.293299,13.609951,inondation,4,2025-06-27 18:26:38,18,4,4.0,54.6,31.5,0.624,MOYEN
Ebolowa,2.915142,11.182974,glissement,4,2026-02-10 15:38:38,15,1,12.0,20.3,32.4,0.5117,MOYEN
Bertoua,4.556138,13.652412,incendie,1,2025-11-27 23:12:38,23,3,22.0,30.6,37.1,0.6852,ELEVE
Ngaoundéré,7.354675,13.585739,incendie,4,2025-12-03 05:07:38,5,2,19.0,65.5,25.5,0.5761,MOYEN
Garoua,9.287835,13.390235,criminalité,4,2025-10-06 00:20:38,0,0,18.0,3.6,20.8,0.8866,ELEVE
Bafoussam,5.465302,10.444641,accident_route,1,2025-07-13 20:42:38,20,6,2.0,35.2,25.5,0.4083,MOYEN
Bafoussam,5.505488,10.427192,glissement,2,2026-06-17 19:04:38,19,2,1.0,14.2,27.3,0.4677,MOYEN
Yaoundé,3.806764,11.545796,criminalité,5,2025-11-02 14:02:38,14,6,19.0,101.5,18.1,0.7871,ELEVE
Maroua,10.552908,14.336634,incendie,1,2026-04-18 11:00:38,11,5,12.0,41.9,32.8,0.847,ELEVE
Garoua,9.286237,13.431145,glissement,3,2026-06-08 08:49:38,8,0,17.0,109.1,26.6,0.8042,ELEVE
Maroua,10.564693,14.343864,accident_route,3,2025-09-26 08:30:38,8,4,5.0,119.8,33.0,0.9743,ELEVE
Douala,4.039489,9.772255,inondation,4,2026-05-01 23:07:38,23,4,6.0,97.6,36.7,1.0,ELEVE
Ebolowa,2.870185,11.167343,accident_route,2,2026-02-18 04:27:38,4,2,12.0,41.3,34.8,0.5087,MOYEN
Ngaoundéré,7.321263,13.564093,inondation,5,2025-08-19 10:37:38,10,1,17.0,52.2,36.4,0.6581,ELEVE
Garoua,23.007366911686297,41.93053243299164,accident_route,1,2026-03-01 14:13:38,14,6,24.0,9.3,24.9,0.6696,ELEVE
Ngaoundéré,7.322347,13.633518,incendie,5,2025-09-02 14:22:38,14,1,10.0,72.4,23.8,0.796,ELEVE
Ngaoundéré,7.361754,13.607161,pollution,4,2026-03-29 13:03:38,13,6,21.0,72.8,34.8,0.622,MOYEN
Ebolowa,2.888856,11.144869,inondation,2,2025-08-01 01:13:38,1,4,21.0,118.4,24.3,0.5976,MOYEN
Maroua,10.591419,14.322697,accident_route,4,2025-09-24 19:53:38,19,2,5.0,6.0,28.7,1.0,ELEVE
Bertoua,4.610942,13.718087,glissement,2,2026-01-06 12:26:38,12,1,13.0,22.6,20.2,0.6785,ELEVE
Maroua,10.632307,14.365724,criminalité,5,2025-09-25 12:07:38,12,3,24.0,48.8,29.1,1.0,ELEVE
Garoua,9.287739,13.355702,glissement,5,2025-07-24 06:13:38,6,3,13.0,109.2,32.9,1.0,ELEVE
Garoua,9.327102,13.409622,criminalité,1,2025-09-01 08:09:38,8,0,3.0,5.3,22.6,0.6965,ELEVE
Maroua,10.621273,14.318629,accident_route,1,2026-06-13 09:38:38,9,5,7.0,109.0,26.2,0.8216,ELEVE
Bertoua,4.542889,13.682545,glissement,2,2025-10-19 15:43:38,15,6,6.0,105.8,18.5,0.6046,MOYEN
Bafoussam,5.47951,10.397847,criminalité,5,2026-02-02 15:11:38,15,0,11.0,57.5,22.9,0.6455,MOYEN
Douala,4.063759,9.810538,pollution,5,2025-12-29 14:53:38,14,0,16.0,9.7,18.1,1.0,ELEVE
Bafoussam,5.435786,10.417062,pollution,5,2025-09-16 04:27:38,4,1,8.0,10.4,35.1,0.4985,MOYEN
Douala,4.048217,9.800064,glissement,4,2026-04-22 02:57:38,2,2,6.0,23.9,37.3,1.0,ELEVE
Bafoussam,26.68028237369255,31.518674168072224,incendie,4,2026-01-08 02:57:38,2,3,21.0,78.2,28.8,0.5332,MOYEN
Yaoundé,38.10586419503363,55.04841617083211,pollution,4,2025-08-30 06:06:38,6,5,3.0,84.9,18.2,0.8686,ELEVE
Bertoua,4.591382,13.673921,incendie,4,2025-08-07 01:03:38,1,3,15.0,22.2,35.2,0.708,ELEVE
Maroua,10.571067,14.358487,inondation,2,2025-09-08 21:30:38,21,0,23.0,98.0,31.2,1.0,ELEVE
Bafoussam,5.515153,10.430142,inondation,2,2025-07-23 14:08:38,14,2,19.0,102.7,35.6,0.3091,FAIBLE
Ngaoundéré,7.330493,13.549936,accident_route,4,2025-11-06 17:34:38,17,3,11.0,41.0,27.2,0.7181,ELEVE
Yaoundé,3.851145,11.480895,accident_route,5,2025-12-13 17:39:38,17,5,22.0,114.1,34.5,0.8293,ELEVE
Bafoussam,5.493375,10.390818,accident_route,3,2025-08-19 15:26:38,15,1,13.0,63.5,32.6,0.488,MOYEN
Bertoua,4.536935,13.733287,criminalité,1,2026-01-12 06:58:38,6,0,6.0,117.8,27.5,0.4885,MOYEN
Maroua,10.622599,14.295982,glissement,4,2025-08-17 12:17:38,12,6,16.0,8.9,30.6,1.0,ELEVE
Ebolowa,2.875794,11.165998,pollution,2,2026-05-23 12:10:38,12,5,17.0,79.7,30.4,0.3942,MOYEN
Yaoundé,3.821067,11.469753,criminalité,2,2026-01-03 03:24:38,3,5,21.0,59.4,31.7,0.7094,ELEVE
Maroua,10.553623,14.326851,pollution,4,2025-07-30 23:30:38,23,2,6.0,65.5,24.4,0.9209,ELEVE
Maroua,10.638873,14.361006,inondation,3,2026-06-14 19:50:38,19,6,11.0,42.1,21.6,0.8744,ELEVE
Garoua,9.328347,13.360087,criminalité,1,2026-01-09 07:54:38,7,4,17.0,68.5,28.3,0.5564,MOYEN
Ebolowa,2.912047,11.174225,inondation,3,2026-05-24 15:25:38,15,6,20.0,105.8,35.6,0.5628,MOYEN
Ebolowa,2.879462,11.101432,criminalité,2,2026-05-29 10:55:38,10,4,21.0,43.7,22.2,0.4963,MOYEN
Ngaoundéré,7.302221,13.623757,criminalité,1,2025-11-30 17:21:38,17,6,4.0,32.1,23.0,0.4615,MOYEN
Douala,4.029193,9.77217,glissement,3,2025-10-20 11:07:38,11,0,19.0,113.6,19.7,0.8724,ELEVE
Ebolowa,2.911501,11.199005,accident_route,4,2025-09-19 09:25:38,9,4,21.0,32.4,34.2,0.4693,MOYEN
Garoua,9.322409,13.427173,criminalité,4,2025-12-18 15:03:38,15,3,8.0,71.1,34.1,0.8959,ELEVE
Maroua,10.59947,14.324181,glissement,5,2026-04-01 04:51:38,4,2,19.0,18.6,18.8,1.0,ELEVE
Bafoussam,5.432622,10.369637,criminalité,4,2025-07-25 14:39:38,14,4,21.0,116.6,19.8,0.7365,ELEVE
Douala,4.029678,9.738222,inondation,5,2026-02-10 07:47:38,7,1,18.0,17.9,29.6,1.0,ELEVE
Garoua,9.260367,13.383772,criminalité,3,2026-01-30 00:53:38,0,4,,,,0.813,ELEVE
Maroua,10.563343,14.328903,glissement,5,2025-10-27 08:20:38,8,0,13.0,67.6,33.4,1.0,ELEVE
Garoua,9.253058,13.443991,accident_route,5,2026-01-20 17:20:38,17,1,19.0,33.4,35.4,1.0,ELEVE
Maroua,10.617945,14.275305,glissement,5,2025-09-04 08:17:38,8,3,15.0,77.3,35.8,1.0,ELEVE
Douala,4.061932,9.746005,pollution,4,2025-11-08 06:33:38,6,5,15.0,44.1,20.4,0.8944,ELEVE
Bafoussam,5.522123,10.424547,glissement,3,2026-01-18 20:51:38,20,6,17.0,32.1,18.1,0.532,MOYEN
Douala,4.058226,9.7322,accident_route,5,2026-05-11 09:23:38,9,0,3.0,95.5,24.7,1.0,ELEVE
Garoua,9.326094,13.357137,inondation,4,2025-09-04 01:19:38,1,3,1.0,14.0,36.0,1.0,ELEVE
Yaoundé,3.891628,11.458501,criminalité,5,2025-11-26 04:20:38,4,2,11.0,93.8,27.5,1.0,ELEVE
Douala,4.098801,9.728089,inondation,3,2026-01-11 15:19:38,15,6,2.0,47.2,18.7,0.9033,ELEVE
Bafoussam,5.515375,10.378258,inondation,2,2025-09-20 07:55:38,7,5,14.0,37.0,32.6,0.6069,MOYEN
Douala,4.017176,9.799697,glissement,4,2026-06-10 14:22:38,14,2,3.0,27.5,19.8,1.0,ELEVE
Maroua,48.40268734076722,30.497774418977937,inondation,1,2025-12-16 18:42:38,18,1,4.0,86.4,19.0,0.7265,ELEVE
Maroua,10.623974,14.331018,accident_route,5,2026-06-06 00:09:38,0,5,7.0,0.9,20.9,1.0,ELEVE
Maroua,10.607422,14.284512,accident_route,3,2025-08-15 07:06:38,7,4,16.0,3.0,35.7,0.9043,ELEVE
Yaoundé,3.818789,11.454753,inondation,3,2025-10-18 09:28:38,9,5,11.0,69.3,33.5,0.7552,ELEVE
Yaoundé,3.892716,11.540586,inondation,2,2025-08-31 19:46:38,19,6,7.0,114.9,30.0,0.7895,ELEVE
Maroua,10.582694,14.364594,incendie,4,2026-01-01 14:19:38,14,3,7.0,72.0,37.9,0.9115,ELEVE
Maroua,10.596822,14.342423,glissement,2,2026-02-05 05:22:38,5,3,16.0,20.5,34.6,0.8597,ELEVE
Douala,4.002901,9.814181,inondation,4,2026-05-10 20:57:38,20,6,17.0,84.9,32.5,0.9692,ELEVE
Douala,4.045144,9.748133,glissement,2,2025-12-30 07:40:38,7,1,21.0,67.9,37.3,0.921,ELEVE
Garoua,9.259018,13.382477,criminalité,4,2026-01-02 12:13:38,12,4,7.0,97.7,29.8,0.8295,ELEVE
Bafoussam,5.435226,10.368211,pollution,2,2026-05-06 07:24:38,7,2,9.0,20.1,31.7,0.4408,MOYEN
Ngaoundéré,7.325268,13.563938,accident_route,3,2025-12-01 09:47:38,9,0,12.0,117.0,20.6,0.5474,MOYEN
Yaoundé,3.846767,11.517322,pollution,2,2025-12-06 20:51:38,20,5,22.0,57.5,27.5,0.6503,ELEVE
Ebolowa,2.920487,11.181713,incendie,5,2025-08-25 16:47:38,16,0,2.0,96.2,23.7,0.4786,MOYEN
Bertoua,4.584171,13.668328,incendie,1,2025-10-30 18:03:38,18,3,15.0,8.3,37.6,0.4722,MOYEN
Maroua,10.613354,14.305586,incendie,3,2025-08-09 03:29:38,3,5,12.0,98.8,18.3,0.909,ELEVE
Douala,4.02574,9.79981,incendie,5,2026-04-20 22:41:38,22,0,11.0,3.6,23.5,1.0,ELEVE
Bafoussam,5.489793,10.465119,inondation,5,2025-06-25 05:33:38,5,2,6.0,52.8,32.4,0.8023,ELEVE
Maroua,10.57926,14.287841,glissement,2,2026-06-20 08:51:38,8,5,23.0,76.5,33.9,0.8231,ELEVE
Yaoundé,3.823439,11.488285,inondation,3,2025-12-18 12:01:38,12,3,9.0,100.9,24.8,0.9156,ELEVE
Yaoundé,3.895338,11.498601,inondation,3,2025-12-12 17:05:38,17,4,18.0,6.5,36.4,0.8003,ELEVE
Douala,4.076177,9.730449,pollution,2,2026-01-03 01:33:38,1,5,23.0,52.0,29.4,0.784,ELEVE
Ngaoundéré,7.29881,13.590333,incendie,4,2025-11-08 05:50:38,5,5,18.0,19.2,28.6,0.7035,ELEVE
Ngaoundéré,7.367692,13.598381,inondation,1,2025-09-08 12:09:38,12,0,,,,0.4923,MOYEN
Ebolowa,2.877215,11.159023,criminalité,3,2026-03-30 22:19:38,22,0,6.0,81.6,31.2,0.5306,MOYEN
Ebolowa,2.919395,11.154272,incendie,5,2026-04-11 17:38:38,17,5,2.0,70.0,21.4,0.6696,ELEVE
Ebolowa,2.895914,11.198003,glissement,5,2026-03-15 05:02:38,5,6,12.0,44.7,23.7,0.5137,MOYEN
Maroua,10.576278,14.309696,accident_route,5,2025-06-28 13:39:38,13,5,22.0,55.5,33.7,0.9079,ELEVE
Yaoundé,3.869615,11.479362,criminalité,2,2026-06-08 01:13:38,1,0,8.0,0.3,31.4,0.7814,ELEVE
Douala,4.09803,9.77021,incendie,2,2025-07-23 14:09:38,14,2,,,,0.821,ELEVE
Ngaoundéré,7.315928,13.627092,accident_route,4,2025-08-31 17:59:38,17,6,11.0,5.3,20.6,0.7997,ELEVE
Garoua,9.293183,13.388102,inondation,3,2026-04-29 20:26:38,20,2,,,,0.7733,ELEVE
Ebolowa,2.875761,11.105952,criminalité,2,2025-09-02 05:08:38,5,1,12.0,47.0,32.0,0.3814,MOYEN
Bertoua,4.59201,13.724929,inondation,1,2026-06-06 05:41:38,5,5,13.0,39.3,30.9,0.6729,ELEVE
Ngaoundéré,7.327318,13.617623,pollution,3,2026-05-26 22:16:38,22,1,20.0,6.9,25.1,0.4676,MOYEN
Bafoussam,5.495718,10.39951,incendie,2,2025-07-05 20:48:38,20,5,14.0,115.3,24.1,0.4681,MOYEN
Yaoundé,3.84113,11.490004,inondation,1,2026-05-15 11:00:38,11,4,8.0,92.4,23.4,0.756,ELEVE
Bertoua,40.64136671222386,34.06378610384073,inondation,1,2025-12-22 09:56:38,9,0,12.0,3.6,20.3,0.5439,MOYEN
Yaoundé,43.49893948868143,48.07348325899763,inondation,1,2025-08-03 23:17:38,23,6,6.0,84.6,35.8,0.5389,MOYEN
Yaoundé,3.848585,11.53617,accident_route,3,2025-10-25 18:57:38,18,5,13.0,80.8,34.4,0.6779,ELEVE
Yaoundé,3.822205,11.550766,inondation,2,2025-08-25 16:44:38,16,0,13.0,44.7,30.6,0.6426,MOYEN
Douala,4.085806,9.720259,inondation,5,2026-04-19 11:22:38,11,6,4.0,109.0,18.9,1.0,ELEVE
Garoua,9.314629,13.423112,glissement,3,2025-09-07 12:59:38,12,6,3.0,81.1,31.3,0.8903,ELEVE
Yaoundé,3.879494,11.529903,criminalité,5,2025-09-04 22:06:38,22,3,8.0,86.8,22.2,0.7406,ELEVE
Bafoussam,5.514543,10.425694,accident_route,1,2026-01-08 07:54:38,7,3,8.0,106.3,21.2,0.4973,MOYEN
Douala,4.013059,9.789224,inondation,2,2026-03-22 00:00:38,0,6,14.0,22.0,27.3,0.9785,ELEVE
Douala,4.03912,9.757782,pollution,3,2025-11-16 00:38:38,0,6,17.0,71.6,24.8,1.0,ELEVE
Bertoua,4.548914,13.652669,accident_route,3,2026-06-08 13:32:38,13,0,10.0,44.1,22.4,0.6281,MOYEN
Garoua,9.285396,13.4203,pollution,1,2025-11-15 19:22:38,19,5,,,,0.7329,ELEVE
Ngaoundéré,7.340146,13.60165,criminalité,3,2026-04-27 03:24:38,3,0,7.0,82.6,31.3,0.6002,MOYEN
Douala,4.006916,9.817387,incendie,3,2025-10-06 23:49:38,23,0,21.0,102.2,20.8,0.8629,ELEVE
Douala,4.095269,9.734636,criminalité,4,2025-09-14 12:34:38,12,6,25.0,1.3,23.5,0.8553,ELEVE
Ebolowa,2.889153,11.141262,incendie,5,2026-04-06 11:17:38,11,0,4.0,82.9,19.2,0.618,MOYEN
Ebolowa,2.948765,11.104011,accident_route,2,2026-01-18 01:48:38,1,6,13.0,42.1,25.5,0.3219,FAIBLE
Douala,4.09051,9.740895,criminalité,1,2025-09-19 17:43:38,17,4,17.0,117.8,37.1,0.7564,ELEVE
Maroua,10.643597,14.334588,glissement,5,2025-12-14 08:17:38,8,6,24.0,16.6,35.3,1.0,ELEVE
Garoua,9.271699,13.398657,glissement,4,2026-03-06 10:43:38,10,4,16.0,108.6,21.1,0.8834,ELEVE
Bafoussam,5.524705,10.443104,criminalité,1,2025-07-02 22:51:38,22,2,16.0,92.2,37.0,0.4872,MOYEN
Bafoussam,5.444571,10.400022,criminalité,5,2026-02-01 21:49:38,21,6,11.0,66.0,37.9,0.5983,MOYEN
Bertoua,4.566821,13.6375,inondation,4,2026-05-12 15:05:38,15,1,19.0,88.1,24.9,0.7388,ELEVE
Bertoua,4.61541,13.635727,glissement,3,2026-01-26 12:52:38,12,0,4.0,31.0,28.2,0.7512,ELEVE
Garoua,9.296084,13.358324,inondation,5,2025-11-06 03:36:38,3,3,9.0,16.5,30.3,0.9091,ELEVE
Ngaoundéré,7.328162,13.581147,incendie,1,2026-01-13 02:44:38,2,1,1.0,78.9,28.9,0.522,MOYEN
Maroua,10.57926,14.287841,glissement,2,2026-06-20 08:51:38,8,5,23.0,76.5,33.9,0.8231,ELEVE
Ngaoundéré,7.322347,13.633518,incendie,5,2025-09-02 14:22:38,14,1,10.0,72.4,23.8,0.796,ELEVE
Ebolowa,2.932242,11.185756,incendie,2,2025-09-23 23:30:38,23,1,1.0,69.4,34.9,0.3664,MOYEN
Yaoundé,3.865297,11.479638,inondation,4,2026-05-22 23:00:38,23,4,3.0,16.5,34.1,0.8742,ELEVE
Maroua,10.54999,14.290975,criminalité,5,2026-03-26 10:40:38,10,3,2.0,118.9,35.6,0.8731,ELEVE
Maroua,10.635279,14.321796,inondation,2,2025-12-12 01:04:38,1,4,8.0,120.0,21.1,0.8448,ELEVE
Bafoussam,5.519336,10.388066,accident_route,4,2025-09-08 10:58:38,10,0,11.0,24.7,21.8,0.6422,MOYEN
Yaoundé,3.816448,11.488324,pollution,3,2026-04-21 17:42:38,17,1,1.0,65.8,21.8,0.8808,ELEVE
Yaoundé,3.847421,11.534925,inondation,5,2025-11-23 20:23:38,20,6,13.0,89.3,18.4,0.7303,ELEVE
Yaoundé,3.884236,11.547052,criminalité,3,2026-06-20 12:24:38,12,5,21.0,20.7,23.0,0.7359,ELEVE
Bertoua,4.608181,13.677158,pollution,3,2025-12-27 18:29:38,18,5,10.0,55.7,20.4,0.5318,MOYEN
Maroua,10.572064,14.340597,inondation,3,2025-11-11 21:42:38,21,1,13.0,113.5,34.4,1.0,ELEVE
Bafoussam,5.4925,10.407873,criminalité,4,2026-04-04 11:27:38,11,5,15.0,80.7,24.2,0.4774,MOYEN
Garoua,9.281625,13.40939,incendie,4,2025-12-06 05:34:38,5,5,,,,0.875,ELEVE
Bertoua,4.56337,13.711065,pollution,5,2025-08-08 15:22:38,15,4,20.0,72.0,35.6,0.6422,MOYEN
Bertoua,4.536617,13.730386,incendie,5,2025-08-09 23:00:38,23,5,9.0,57.3,22.7,0.8075,ELEVE
Bafoussam,5.503805,10.372561,incendie,0,2025-07-18 09:32:38,9,4,12.0,84.9,23.0,0.6517,ELEVE
Bafoussam,5.522809,10.416626,incendie,1,2025-10-25 01:35:38,1,5,4.0,106.5,18.5,0.4723,MOYEN
Bafoussam,5.477481,10.405765,inondation,1,2025-07-11 20:28:38,20,4,5.0,52.9,25.4,0.4812,MOYEN
Bertoua,4.622573,13.700457,criminalité,3,2026-03-26 08:07:38,8,3,6.0,79.5,19.6,0.6361,MOYEN
Maroua,10.568266,14.3099,accident_route,2,2025-08-20 22:05:38,22,2,15.0,98.9,21.8,0.8235,ELEVE
Maroua,10.605659,14.325968,criminalité,5,2026-03-28 20:56:38,20,5,23.0,38.1,22.4,0.9617,ELEVE
Bafoussam,5.439163,10.451645,incendie,5,2025-11-30 15:17:38,15,6,20.0,88.7,24.0,0.6767,ELEVE
Bertoua,4.561046,13.685371,criminalité,4,2026-06-04 23:03:38,23,3,12.0,25.8,21.7,0.7602,ELEVE
Bertoua,4.528465,13.720667,incendie,3,2026-06-02 14:25:38,14,1,22.0,72.2,22.4,0.5629,MOYEN
Douala,4.068856,9.719559,incendie,5,2025-09-25 17:54:38,17,3,23.0,52.3,28.4,1.0,ELEVE
Ngaoundéré,7.337059,13.597026,pollution,5,2026-05-31 16:03:38,16,6,20.0,102.7,35.9,0.6957,ELEVE
Douala,4.059686,9.780378,incendie,3,2026-03-18 11:10:38,11,2,14.0,90.3,32.0,0.6384,MOYEN
Yaoundé,3.839927,11.453912,glissement,2,2026-06-08 22:56:38,22,0,8.0,23.6,24.6,0.7012,ELEVE
Ebolowa,2.927715,11.15584,criminalité,2,2025-12-22 13:35:38,13,0,12.0,65.3,37.6,0.3625,MOYEN
Maroua,10.568318,14.358104,accident_route,5,2025-10-17 05:06:38,5,4,8.0,82.5,25.2,1.0,ELEVE
Ebolowa,2.884887,11.192953,criminalité,4,2026-04-10 12:00:38,12,4,11.0,77.1,27.0,0.3423,FAIBLE
Douala,4.009799,9.758745,inondation,4,2025-07-20 18:47:38,18,6,21.0,15.2,35.3,1.0,ELEVE
Bertoua,4.534581,13.642836,inondation,1,2025-12-22 20:41:38,20,0,,,,0.6112,MOYEN
