ville,latitude,longitude,type_incident,gravite,date_signalement,heure,jour_semaine,nb_signalements_30j,precipitation_mm,temperature_c,risk_score,niveau_risque,annee,mois
Garoua,9.2604,13.3838,criminalité,3,2026-01-30 00:53:38,0,4,13.0,60.1,27.9,0.813,ELEVE,2026,1
Maroua,10.5633,14.3289,glissement,5,2025-10-27 08:20:38,8,0,13.0,67.6,33.4,1.0,ELEVE,2025,10
Garoua,9.2531,13.444,accident_route,5,2026-01-20 17:20:38,17,1,19.0,33.4,35.4,1.0,ELEVE,2026,1
Maroua,10.6179,14.2753,glissement,5,2025-09-04 08:17:38,8,3,15.0,77.3,35.8,1.0,ELEVE,2025,9
Douala,4.0619,9.746,pollution,4,2025-11-08 06:33:38,6,5,15.0,44.1,20.4,0.8944,ELEVE,2025,11
Bafoussam,5.5221,10.4245,glissement,3,2026-01-18 20:51:38,20,6,17.0,32.1,18.1,0.532,MOYEN,2026,1
Douala,4.0582,9.7322,accident_route,5,2026-05-11 09:23:38,9,0,3.0,95.5,24.7,1.0,ELEVE,2026,5
Garoua,9.3261,13.3571,inondation,4,2025-09-04 01:19:38,1,3,1.0,14.0,36.0,1.0,ELEVE,2025,9
Yaoundé,3.8916,11.4585,criminalité,5,2025-11-26 04:20:38,4,2,11.0,93.8,27.5,1.0,ELEVE,2025,11
Douala,4.0988,9.7281,inondation,3,2026-01-11 15:19:38,15,6,2.0,47.2,18.7,0.9033,ELEVE,2026,1
Bafoussam,5.5154,10.3783,inondation,2,2025-09-20 07:55:38,7,5,14.0,37.0,32.6,0.6069,MOYEN,2025,9
Douala,4.0172,9.7997,glissement,4,2026-06-10 14:22:38,14,2,3.0,27.5,19.8,1.0,ELEVE,2026,6
Maroua,10.6074,14.2845,accident_route,3,2025-08-15 07:06:38,7,4,16.0,3.0,35.7,0.9043,ELEVE,2025,8
Yaoundé,3.8188,11.4548,inondation,3,2025-10-18 09:28:38,9,5,11.0,69.3,33.5,0.7552,ELEVE,2025,10
Yaoundé,3.8927,11.5406,inondation,2,2025-08-31 19:46:38,19,6,7.0,114.9,30.0,0.7895,ELEVE,2025,8
Maroua,10.5827,14.3646,incendie,4,2026-01-01 14:19:38,14,3,7.0,72.0,37.9,0.9115,ELEVE,2026,1
Maroua,10.5968,14.3424,glissement,2,2026-02-05 05:22:38,5,3,16.0,20.5,34.6,0.8597,ELEVE,2026,2
Douala,4.0029,9.8142,inondation,4,2026-05-10 20:57:38,20,6,17.0,84.9,32.5,0.9692,ELEVE,2026,5
Douala,4.0451,9.7481,glissement,2,2025-12-30 07:40:38,7,1,21.0,67.9,37.3,0.921,ELEVE,2025,12
Garoua,9.259,13.3825,criminalité,4,2026-01-02 12:13:38,12,4,7.0,97.7,29.8,0.8295,ELEVE,2026,1
Bafoussam,5.4352,10.3682,pollution,2,2026-05-06 07:24:38,7,2,9.0,20.1,31.7,0.4408,MOYEN,2026,5
Ngaoundéré,7.3253,13.5639,accident_route,3,2025-12-01 09:47:38,9,0,12.0,117.0,20.6,0.5474,MOYEN,2025,12
Yaoundé,3.8468,11.5173,pollution,2,2025-12-06 20:51:38,20,5,22.0,57.5,27.5,0.6503,ELEVE,2025,12
Ebolowa,2.9205,11.1817,incendie,5,2025-08-25 16:47:38,16,0,2.0,96.2,23.7,0.4786,MOYEN,2025,8
Bertoua,4.5842,13.6683,incendie,1,2025-10-30 18:03:38,18,3,15.0,8.3,37.6,0.4722,MOYEN,2025,10
Maroua,10.6134,14.3056,incendie,3,2025-08-09 03:29:38,3,5,12.0,98.8,18.3,0.909,ELEVE,2025,8
Douala,4.0257,9.7998,incendie,5,2026-04-20 22:41:38,22,0,11.0,3.6,23.5,1.0,ELEVE,2026,4
Bafoussam,5.4898,10.4651,inondation,5,2025-06-25 05:33:38,5,2,6.0,52.8,32.4,0.8023,ELEVE,2025,6
Maroua,10.5793,14.2878,glissement,2,2026-06-20 08:51:38,8,5,23.0,76.5,33.9,0.8231,ELEVE,2026,6
Yaoundé,3.8234,11.4883,inondation,3,2025-12-18 12:01:38,12,3,9.0,100.9,24.8,0.9156,ELEVE,2025,12
Yaoundé,3.8953,11.4986,inondation,3,2025-12-12 17:05:38,17,4,18.0,6.5,36.4,0.8003,ELEVE,2025,12
Douala,4.0762,9.7304,pollution,2,2026-01-03 01:33:38,1,5,23.0,52.0,29.4,0.784,ELEVE,2026,1
Ngaoundéré,7.2988,13.5903,incendie,4,2025-11-08 05:50:38,5,5,18.0,19.2,28.6,0.7035,ELEVE,2025,11
Ngaoundéré,7.3677,13.5984,inondation,1,2025-09-08 12:09:38,12,0,13.0,60.1,27.9,0.4923,MOYEN,2025,9
Ebolowa,2.8772,11.159,criminalité,3,2026-03-30 22:19:38,22,0,6.0,81.6,31.2,0.5306,MOYEN,2026,3
Ebolowa,2.9194,11.1543,incendie,5,2026-04-11 17:38:38,17,5,2.0,70.0,21.4,0.6696,ELEVE,2026,4
Ebolowa,2.8959,11.198,glissement,5,2026-03-15 05:02:38,5,6,12.0,44.7,23.7,0.5137,MOYEN,2026,3
Maroua,10.5763,14.3097,accident_route,5,2025-06-28 13:39:38,13,5,22.0,55.5,33.7,0.9079,ELEVE,2025,6
Yaoundé,3.8696,11.4794,criminalité,2,2026-06-08 01:13:38,1,0,8.0,0.3,31.4,0.7814,ELEVE,2026,6
Douala,4.098,9.7702,incendie,2,2025-07-23 14:09:38,14,2,13.0,60.1,27.9,0.821,ELEVE,2025,7
Ngaoundéré,7.3159,13.6271,accident_route,4,2025-08-31 17:59:38,17,6,11.0,5.3,20.6,0.7997,ELEVE,2025,8
Garoua,9.2932,13.3881,inondation,3,2026-04-29 20:26:38,20,2,13.0,60.1,27.9,0.7733,ELEVE,2026,4
Ebolowa,2.8758,11.106,criminalité,2,2025-09-02 05:08:38,5,1,12.0,47.0,32.0,0.3814,MOYEN,2025,9
Bertoua,4.592,13.7249,inondation,1,2026-06-06 05:41:38,5,5,13.0,39.3,30.9,0.6729,ELEVE,2026,6
Ngaoundéré,7.3273,13.6176,pollution,3,2026-05-26 22:16:38,22,1,20.0,6.9,25.1,0.4676,MOYEN,2026,5
Bafoussam,5.4957,10.3995,incendie,2,2025-07-05 20:48:38,20,5,14.0,115.3,24.1,0.4681,MOYEN,2025,7
Yaoundé,3.8411,11.49,inondation,1,2026-05-15 11:00:38,11,4,8.0,92.4,23.4,0.756,ELEVE,2026,5
Yaoundé,3.8486,11.5362,accident_route,3,2025-10-25 18:57:38,18,5,13.0,80.8,34.4,0.6779,ELEVE,2025,10
Yaoundé,3.8222,11.5508,inondation,2,2025-08-25 16:44:38,16,0,13.0,44.7,30.6,0.6426,MOYEN,2025,8
Douala,4.0858,9.7203,inondation,5,2026-04-19 11:22:38,11,6,4.0,109.0,18.9,1.0,ELEVE,2026,4
Garoua,9.3146,13.4231,glissement,3,2025-09-07 12:59:38,12,6,3.0,81.1,31.3,0.8903,ELEVE,2025,9
Yaoundé,3.8795,11.5299,criminalité,5,2025-09-04 22:06:38,22,3,8.0,86.8,22.2,0.7406,ELEVE,2025,9
Bafoussam,5.5145,10.4257,accident_route,1,2026-01-08 07:54:38,7,3,8.0,106.3,21.2,0.4973,MOYEN,2026,1
Douala,4.0131,9.7892,inondation,2,2026-03-22 00:00:38,0,6,14.0,22.0,27.3,0.9785,ELEVE,2026,3
Douala,4.0391,9.7578,pollution,3,2025-11-16 00:38:38,0,6,17.0,71.6,24.8,1.0,ELEVE,2025,11
Bertoua,4.5489,13.6527,accident_route,3,2026-06-08 13:32:38,13,0,10.0,44.1,22.4,0.6281,MOYEN,2026,6
Garoua,9.2854,13.4203,pollution,1,2025-11-15 19:22:38,19,5,13.0,60.1,27.9,0.7329,ELEVE,2025,11
Ngaoundéré,7.3401,13.6016,criminalité,3,2026-04-27 03:24:38,3,0,7.0,82.6,31.3,0.6002,MOYEN,2026,4
Douala,4.0069,9.8174,incendie,3,2025-10-06 23:49:38,23,0,21.0,102.2,20.8,0.8629,ELEVE,2025,10
Douala,4.0953,9.7346,criminalité,4,2025-09-14 12:34:38,12,6,25.0,1.3,23.5,0.8553,ELEVE,2025,9
Ebolowa,2.8892,11.1413,incendie,5,2026-04-06 11:17:38,11,0,4.0,82.9,19.2,0.618,MOYEN,2026,4
Ebolowa,2.9488,11.104,accident_route,2,2026-01-18 01:48:38,1,6,13.0,42.1,25.5,0.3219,FAIBLE,2026,1
Douala,4.0905,9.7409,criminalité,1,2025-09-19 17:43:38,17,4,17.0,117.8,37.1,0.7564,ELEVE,2025,9
Maroua,10.6436,14.3346,glissement,5,2025-12-14 08:17:38,8,6,24.0,16.6,35.3,1.0,ELEVE,2025,12
Garoua,9.2717,13.3987,glissement,4,2026-03-06 10:43:38,10,4,16.0,108.6,21.1,0.8834,ELEVE,2026,3
Bafoussam,5.5247,10.4431,criminalité,1,2025-07-02 22:51:38,22,2,16.0,92.2,37.0,0.4872,MOYEN,2025,7
Bafoussam,5.4446,10.4,criminalité,5,2026-02-01 21:49:38,21,6,11.0,66.0,37.9,0.5983,MOYEN,2026,2
Bertoua,4.5668,13.6375,inondation,4,2026-05-12 15:05:38,15,1,19.0,88.1,24.9,0.7388,ELEVE,2026,5
Bertoua,4.6154,13.6357,glissement,3,2026-01-26 12:52:38,12,0,4.0,31.0,28.2,0.7512,ELEVE,2026,1
Garoua,9.2961,13.3583,inondation,5,2025-11-06 03:36:38,3,3,9.0,16.5,30.3,0.9091,ELEVE,2025,11
Ngaoundéré,7.3282,13.5811,incendie,1,2026-01-13 02:44:38,2,1,1.0,78.9,28.9,0.522,MOYEN,2026,1
Ebolowa,2.9322,11.1858,incendie,2,2025-09-23 23:30:38,23,1,1.0,69.4,34.9,0.3664,MOYEN,2025,9
Yaoundé,3.8653,11.4796,inondation,4,2026-05-22 23:00:38,23,4,3.0,16.5,34.1,0.8742,ELEVE,2026,5
Maroua,10.55,14.291,criminalité,5,2026-03-26 10:40:38,10,3,2.0,118.9,35.6,0.8731,ELEVE,2026,3
Maroua,10.6353,14.3218,inondation,2,2025-12-12 01:04:38,1,4,8.0,120.0,21.1,0.8448,ELEVE,2025,12
Bafoussam,5.5193,10.3881,accident_route,4,2025-09-08 10:58:38,10,0,11.0,24.7,21.8,0.6422,MOYEN,2025,9
Yaoundé,3.8164,11.4883,pollution,3,2026-04-21 17:42:38,17,1,1.0,65.8,21.8,0.8808,ELEVE,2026,4
Yaoundé,3.8474,11.5349,inondation,5,2025-11-23 20:23:38,20,6,13.0,89.3,18.4,0.7303,ELEVE,2025,11
Yaoundé,3.8842,11.5471,criminalité,3,2026-06-20 12:24:38,12,5,21.0,20.7,23.0,0.7359,ELEVE,2026,6
Bertoua,4.6082,13.6772,pollution,3,2025-12-27 18:29:38,18,5,10.0,55.7,20.4,0.5318,MOYEN,2025,12
Maroua,10.5721,14.3406,inondation,3,2025-11-11 21:42:38,21,1,13.0,113.5,34.4,1.0,ELEVE,2025,11
Bafoussam,5.4925,10.4079,criminalité,4,2026-04-04 11:27:38,11,5,15.0,80.7,24.2,0.4774,MOYEN,2026,4
Garoua,9.2816,13.4094,incendie,4,2025-12-06 05:34:38,5,5,13.0,60.1,27.9,0.875,ELEVE,2025,12
Bertoua,4.5634,13.7111,pollution,5,2025-08-08 15:22:38,15,4,20.0,72.0,35.6,0.6422,MOYEN,2025,8
Bafoussam,5.5038,10.3726,incendie,1,2025-07-18 09:32:38,9,4,12.0,84.9,23.0,0.6517,ELEVE,2025,7
Bafoussam,5.5228,10.4166,incendie,1,2025-10-25 01:35:38,1,5,4.0,106.5,18.5,0.4723,MOYEN,2025,10
Bafoussam,5.4775,10.4058,inondation,1,2025-07-11 20:28:38,20,4,5.0,52.9,25.4,0.4812,MOYEN,2025,7
Bertoua,4.6226,13.7005,criminalité,3,2026-03-26 08:07:38,8,3,6.0,79.5,19.6,0.6361,MOYEN,2026,3
Maroua,10.5683,14.3099,accident_route,2,2025-08-20 22:05:38,22,2,15.0,98.9,21.8,0.8235,ELEVE,2025,8
Maroua,10.6057,14.326,criminalité,5,2026-03-28 20:56:38,20,5,23.0,38.1,22.4,0.9617,ELEVE,2026,3
Bafoussam,5.4392,10.4516,incendie,5,2025-11-30 15:17:38,15,6,20.0,88.7,24.0,0.6767,ELEVE,2025,11
Bertoua,4.561,13.6854,criminalité,4,2026-06-04 23:03:38,23,3,12.0,25.8,21.7,0.7602,ELEVE,2026,6
Bertoua,4.5285,13.7207,incendie,3,2026-06-02 14:25:38,14,1,22.0,72.2,22.4,0.5629,MOYEN,2026,6
Douala,4.0689,9.7196,incendie,5,2025-09-25 17:54:38,17,3,23.0,52.3,28.4,1.0,ELEVE,2025,9
Ngaoundéré,7.3371,13.597,pollution,5,2026-05-31 16:03:38,16,6,20.0,102.7,35.9,0.6957,ELEVE,2026,5
Douala,4.0597,9.7804,incendie,3,2026-03-18 11:10:38,11,2,14.0,90.3,32.0,0.6384,MOYEN,2026,3
